id,en,zh_CN
the tiamana flow continues to increase in your interlinked bubbles.,the tiamana flow continues to increase in your interlinked bubbles.,提亚玛纳之流在你交织的梦泡中猛长。
[shake rate=5.0 level=6 connected=0]Despondent vermin...[/shake] ,[shake rate=5.0 level=6 connected=0]Despondent vermin...[/shake] ,[shake rate=5.0 level=6 connected=0]枯槁的活体啊……[/shake] 
[shake rate=5.0 level=6 connected=0]May your death bring forth new life.[/shake],[shake rate=5.0 level=6 connected=0]May your death bring forth new life.[/shake],[shake rate=5.0 level=6 connected=0]愿你的腐坏，滋养出新的生命。[/shake]
"every minute that i sleep, my mind erodes a little more.","every minute that i sleep, my mind erodes a little more.",每度过一分梦寐，我的心智便消磨一分。
Even the dust-born creatures overflow with tiamana.,Even the dust-born creatures overflow with tiamana.,哪怕是卑微如尘的生灵，也早已被提亚玛纳彻底浸透。
The path unto oblivion is unbarred.,The path unto oblivion is unbarred.,通往虚无的门扉，已然敞开。
Credits,Credits,制作人员
Special Thanks To:,Special Thanks To:,特别鸣谢：
"The 115+ playtesters for helping shape the game,","The 115+ playtesters for helping shape the game,",感谢 115+ 位测试人员，你们共同塑造了这款游戏；
"the users of freesound.org for their amazing samples,","the users of freesound.org for their amazing samples,",感谢 freesound.org 的用户们提供了惊艳的音效采样；
"my friends and family for their love and support,","my friends and family for their love and support,",感谢我亲友们的爱与支持；
"...and you, for playing Lucid Blocks.","...and you, for playing Lucid Blocks.",……以及屏幕前的你，感谢你游玩《Lucid Blocks》。
drown the firmament,drown the firmament,浸入天幕的深处
"** STOP: 0x0000071

OUT_OF_TIAMANA



An error occurred connecting to Q-%s-ST



Phenome dump:

%s



Rebooting Saptasuryah tether at last visited node... Please be patient. Do not allow your mind to falter. 
","** STOP: 0x0000071

OUT_OF_TIAMANA



An error occurred connecting to Q-%s-ST



Phenome dump:

%s



Rebooting Saptasuryah tether at last visited node... Please be patient. Do not allow your mind to falter. 
","** 进程终止：0x0000071
提亚玛纳耗尽 (OUT_OF_TIAMANA)

连接至 Q-%s-ST 时发生了错误

表型组转储：
%s

正在最近访问的节点重启“萨普塔苏里亚”系带……请耐心等待，莫失清醒。"
2.8.4,2.8.4,版本2.8.4 | 汉化制作：Bilibili升雾代课老湿
2.8.2,2.8.2,版本2.8.2 | 汉化制作：Bilibili升雾代课老湿
